STATE,main,{,},id,=,;,while,(,),+,*,<=,>=,digit,#,block,stmts,stmt,E,F,G,bool,T
0,s1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,ERROR,s3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,acc,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,ERROR,s3,r4,s6,ERROR,ERROR,s7,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,8,4,5,ERROR,ERROR,ERROR,ERROR,ERROR
4,ERROR,ERROR,s9,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
5,ERROR,s3,r4,s6,ERROR,ERROR,s7,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,8,10,5,ERROR,ERROR,ERROR,ERROR,ERROR
6,ERROR,ERROR,ERROR,ERROR,s11,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,s12,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
8,ERROR,r7,r7,r7,ERROR,ERROR,r7,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
9,ERROR,r2,r2,r2,ERROR,ERROR,r2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,r2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
10,ERROR,ERROR,r3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
11,ERROR,ERROR,ERROR,s18,ERROR,ERROR,ERROR,s16,ERROR,ERROR,ERROR,ERROR,ERROR,s19,ERROR,ERROR,ERROR,ERROR,13,14,15,ERROR,17
12,ERROR,ERROR,ERROR,s18,ERROR,ERROR,ERROR,s16,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,20,21
13,ERROR,ERROR,ERROR,ERROR,ERROR,s22,ERROR,ERROR,ERROR,s23,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
14,ERROR,ERROR,ERROR,ERROR,ERROR,r9,ERROR,ERROR,r9,r9,s24,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
15,ERROR,ERROR,ERROR,ERROR,ERROR,r11,ERROR,ERROR,r11,r11,r11,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
16,ERROR,ERROR,ERROR,s18,ERROR,ERROR,ERROR,s16,ERROR,ERROR,ERROR,ERROR,ERROR,s19,ERROR,ERROR,ERROR,ERROR,25,14,15,ERROR,17
17,ERROR,ERROR,ERROR,ERROR,ERROR,r13,ERROR,ERROR,r13,r13,r13,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
18,ERROR,ERROR,ERROR,ERROR,ERROR,r17,ERROR,ERROR,r17,r17,r17,r17,r17,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
19,ERROR,ERROR,ERROR,ERROR,ERROR,r18,ERROR,ERROR,r18,r18,r18,r18,r18,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
20,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,s26,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
21,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,r16,ERROR,ERROR,s27,s28,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
22,ERROR,r5,r5,r5,ERROR,ERROR,r5,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
23,ERROR,ERROR,ERROR,s18,ERROR,ERROR,ERROR,s16,ERROR,ERROR,ERROR,ERROR,ERROR,s19,ERROR,ERROR,ERROR,ERROR,ERROR,29,15,ERROR,17
24,ERROR,ERROR,ERROR,s18,ERROR,ERROR,ERROR,s16,ERROR,ERROR,ERROR,ERROR,ERROR,s19,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,30,ERROR,17
25,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,s31,s23,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
26,ERROR,s3,ERROR,s6,ERROR,ERROR,s7,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,8,ERROR,32,ERROR,ERROR,ERROR,ERROR,ERROR
27,ERROR,ERROR,ERROR,s18,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,s19,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,32
28,ERROR,ERROR,ERROR,s18,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,s19,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,33
29,ERROR,ERROR,ERROR,ERROR,ERROR,r8,ERROR,ERROR,r8,r8,s24,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
30,ERROR,ERROR,ERROR,ERROR,ERROR,r10,ERROR,ERROR,r10,r10,r10,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
